Client ID,Industry Type,id,Weight,Volume,Average CFT
1113,3PL,51,3804.6,588.76,8.136285478886828
1114,3PL,503,32251.0,5070.25,7.352325403205591
1124,3PL,65,12972.7,2964.62,8.141683858935618
1137,3PL,16,2555.0,334.84000000000003,7.374463307757669
1141,3PL,92,3486.0,1151.4,3.3147976494795066
1185,3PL,19,1592.68,375.28,4.79357122953908
1222,3PL,479,83029.708,8397.35,13.841331097731642
1232,3PL,70,7378.0,2793.2799999999997,4.705880085099601
1323,3PL,4,189.0,22.68,7.754894460971809
1341,3PL,387,31435.92,4140.28,9.754850531061903
1383,3PL,91,4754.0,735.06,19.397626467226285
1465,3PL,15,604.0,82.25,10.98819299328933
1495,3PL,51,2836.4,384.15999999999997,7.509740196908328
1558,3PL,93,8403.0,1593.43,7.800554699441329
1606,3PL,2,261.0,56.879999999999995,4.270704095346626
1636,3PL,96,4459.0,243.14,19.335409042524862
1663,3PL,16,829.88,211.97,5.216092758162903
1683,3PL,16,659.0,100.81,7.379966340081981
1695,3PL,5,3611.0,320.76,12.359516575766525
1751,3PL,15,4563.0,662.65,7.950786304668941
1759,3PL,32,4378.0,1201.26,5.552421596389835
1794,3PL,55,2809.0,448.69,7.459719806837306
1795,3PL,24,989.0,86.29,21.436870689761562
1801,3PL,16,2917.0,195.82999999999998,17.29538729461362
1886,3PL,1,2.1,0.69,3.0434782608695654
1900,3PL,12,935.0,52.33,30.964523055172133
1905,3PL,30,1549.0,480.35,3.604028636170942
1973,3PL,22,10064.0,899.82,9.493805242688191
1997,3PL,79,4539.0,716.2,5.915694365760826
2053,3PL,5,366.0,56.809999999999995,7.247949691278492
2133,3PL,3,150.8,30.47,5.607886098277533
2153,3PL,13,636.0,82.99,9.425989656487651
2181,3PL,3,91.64,30.880000000000003,2.5239509223711156
2197,3PL,2,1450.0,243.64999999999998,5.746158274847485
2213,3PL,3,1217.0,452.99,2.6004374029280517
2277,3PL,14,5010.86,529.54,10.679581750578224
2283,3PL,6,665.0,50.97,11.209241313682796
2290,3PL,3,146.2,24.43,6.288865340845999
2300,3PL,1,250.0,28.99,8.623663332183511
2318,3PL,3,1277.0,42.06,30.210233381944352
2353,3PL,1,205.0,26.4,7.765151515151516
2379,3PL,2,135.0,8.370000000000001,16.008224938673703
2390,3PL,1,497.0,56.81,8.748459778208062
1112,APPAREL,1186,36762.22,6555.87,5.9518366296328855
1117,APPAREL,68,32093.76,8229.69,4.102478128166602
1120,APPAREL,36,8298.5,1451.76,5.837575049524686
1122,APPAREL,61,16220.53,3323.02,5.582347456836813
1127,APPAREL,299,81787.93,15983.1,8.321828780877707
1170,APPAREL,215,49965.77,14204.56,4.450992952473644
1174,APPAREL,62,22302.239999999998,7064.06,3.6570412556158174
1176,APPAREL,1590,84178.715,15195.789999999999,41.16917040178977
1178,APPAREL,201,56518.43,11442.61,5.156406792930396
1182,APPAREL,726,41811.898,20048.85,2.8679415508624317
1196,APPAREL,342,12573.004,2841.46,11.15046338506293
1210,APPAREL,92,7816.08,3158.71,2.594387968188342
1225,APPAREL,832,62171.705,11628.86,5.933690355364218
1229,APPAREL,809,107615.0,25135.41,4.380659358230961
1243,APPAREL,178,12826.0,6898.13,4.0499464587525305
1267,APPAREL,187,30796.74,5322.64,6.574400665039402
1295,APPAREL,116,12023.0,2294.88,3.8002198158219818
1315,APPAREL,87,3475.12,726.61,6.70808944097342
1333,APPAREL,2,146.0,14.469999999999999,10.074497077833966
1340,APPAREL,205,11959.0,2003.56,6.453064099909246
1356,APPAREL,27,32622.39,4538.26,8.870608847012367
1363,APPAREL,47,3578.0,568.34,7.172561408400672
1376,APPAREL,117,48052.0,7288.33,20.869986217678278
1389,APPAREL,29,13681.7,1612.79,8.809018049149552
1394,APPAREL,63,13500.4,4470.66,7.002845589107291
1404,APPAREL,99,7351.68,1476.1200000000001,5.69168374410943
1420,APPAREL,16,6267.0,1134.14,7.818598910272946
1450,APPAREL,124,4966.84,807.3,6.267732469787657
1452,APPAREL,16,2745.0,453.53,6.941797535686026
1453,APPAREL,55,3955.0,704.69,6.05610643247274
1461,APPAREL,32,1480.0,364.0,10.414677811787511
1464,APPAREL,12,467.0,94.73,5.532300654150853
1498,APPAREL,15,6124.61,765.08,8.203692853128556
1503,APPAREL,18,2565.0,589.72,4.32210660621524
1514,APPAREL,647,20035.0,6205.19,3.344534227006471
1519,APPAREL,14,11891.0,2351.82,5.578102834947736
1523,APPAREL,9,5374.6,807.03,7.252360553054164
1524,APPAREL,3,228.0,44.75,4.964014300112988
