,industry_type,count,mean,25%,50%,75%,max
0,3PL,43.0,9.647218486553696,5.677022186562509,7.765151515151516,10.833887371933777,30.964523055172133
1,APPAREL,124.0,7.669865815769791,4.366021170227031,5.932953887184269,8.329452682459337,41.16917040178977
2,AUTOMOTIVE,31.0,26.68715653970476,8.165505308865455,14.799738910427697,32.54823370915238,168.52626320711425
3,CHEMICALS,20.0,15.203284317778909,7.8605115839993696,13.35384920090926,18.279040563910364,55.3390882525088
4,ECOMMERCE,34.0,8.118426448716768,4.577852464204467,6.94778430393657,10.722583041901212,25.568593365203533
5,ELECTRONICS,111.0,11.163652693055099,6.150313325594115,8.387493785557826,12.477393192424149,44.29015007762636
6,FMCG,45.0,15.874048452488106,5.151919513355141,9.489176935088787,14.74124928746059,232.48505577493253
7,INDUSTRIAL,440.0,18.733458045488806,6.852957708289489,10.844966299637019,17.823290461774086,1175.1238384810604
8,MEDIA & PUBLICATIONS,45.0,17.07763157325506,9.704788470224651,14.090069224572707,17.700812709933977,148.2810697374582
9,NON-ECOMMERCE,250.0,16.161824188233933,6.422056972368342,9.809771886084082,17.841631716298473,188.03418803418805
10,PHARMA,111.0,10.113993691582275,6.545243060278132,8.589404026984226,11.388252530085445,70.68862275449102
11,RETAIL,42.0,15.758165271269107,6.542390094144487,9.134109420234017,13.887866332162275,200.6745362563238
